-8061,0,9
1704,3,6
-10878,0,5
-1968,2,11
-3054,0,7
-5502,1,9
-2308,0,12
-1923,-1,7
-1997,0,10
-467,0,11
1345,0,10
-4136,0,11
-974,0,8
-1980,0,11
-4868,1,10
-3858,0,11
-4041,0,7
-4261,0,10
-7345,0,10
-377,1,11
-9392,0,6
-114,1,10
-4458,0,10
-4490,-1,6
-7156,0,10
-3047,0,11
-753,0,10
-6936,0,11
-228,-1,7
-3277,-1,9
938,0,12
-3296,-2,13
-306,0,7
-777,0,11
-3886,-1,10
-3016,1,10
-3451,0,10
-2834,-1,12
114,3,9
-11720,-3,6
-2080,0,5
-4007,2,11
-8093,0,10
-1603,1,5
-7121,0,8
-6230,-1,8
871,2,9
-8524,0,13
-859,0,5
-1113,0,10
-4198,0,12
3468,0,8
-5016,0,12
1473,-1,9
-2302,2,10
-3791,0,11
-2904,-2,8
-5996,0,14
-1166,0,6
-4870,1,9
-8408,-1,10
2436,1,7
-10702,1,10
-5393,-1,8
-1828,1,6
-10928,0,11
-2471,0,8
-1669,1,7
-8876,0,11
-207,0,8
-2362,2,10
-5199,-2,11
1347,0,11
102,-2,13
2392,0,7
-5568,0,11
-2175,-2,9
-3919,1,11
-2213,0,11
-4123,0,7
-3503,0,10
-1476,2,8
-11424,0,10
960,2,5
-8927,0,11
-6035,-1,7
-2740,3,8
-6323,0,9
-7120,0,7
949,2,8
-7880,-1,12
-408,0,9
1723,1,13
-4230,0,8
2037,1,12
-2118,-2,10
1003,0,9
-4542,0,11
-954,0,10
-3564,0,8
-5487,0,10
-1139,0,7
-5101,1,12
-3740,0,8
-5667,0,8
-5,2,6
-14204,-2,15
1671,2,5
-7455,0,10
-8923,-3,7
5617,3,6
-8795,-1,14
-128,-1,8
1141,-2,12
550,0,10
285,2,10
-7773,-3,14
2898,0,4
-2965,1,15
-4876,-2,9
-4939,0,8
4450,2,6
-11335,-1,15
-2530,1,6
1995,3,6
-18516,-4,12
5858,3,4
-9269,2,13
-9613,-2,8
1234,2,5
-9415,0,11
-2349,0,7
-93,-2,13
-2055,-1,8
5228,2,11
-5702,-2,11
13,-2,9
3395,2,10
-6510,-1,15
-341,0,6
-1531,2,8
-5764,-3,10
4568,1,7
-7463,0,13
-2415,-1,6
-4116,2,7
-11937,0,11
1092,1,7
-10912,0,8
-5556,-1,7
-3276,0,11
-2599,-2,5
-1675,0,9
-6505,0,13
-987,-1,11
-1087,2,8
-5216,-2,11
-188,0,9
-3485,1,13
1153,-1,10
-7086,-1,10
2663,1,11
-4474,0,8
-3137,0,11
-2286,1,8
-5423,-1,10
-5080,1,11
-8107,-1,6
-1446,0,7
-6501,0,11
-6753,0,8
-2999,1,8
-5524,0,8
-5667,0,11
-1114,0,8
-1185,0,10
-5757,-2,10
4139,1,10
-3583,-1,10
1167,0,8
-1392,0,11
-914,0,9
-2925,1,10
-3491,1,6
-2552,1,10
-7026,0,10
-2477,0,8
-5640,0,9
-7477,0,9
-1237,0,7
-8258,1,10
-4035,0,8
-6272,0,9
-2446,0,7
-7667,-1,12
-1083,1,9
-6985,0,12
-1250,-2,7
-611,1,11
-2669,0,14
617,-3,5
255,0,11
-4563,-1,8
2309,0,10
-3247,-1,9
-5477,0,10
-20,2,9
-6857,0,9
-7479,0,7
780,3,8
-10587,-1,9
-2360,1,6
-6150,1,9
-6113,-1,7
-270,2,8
-7315,0,11
-8021,-3,7
5176,2,7
-8314,0,16
968,-1,7
2934,2,8
-7496,-2,11
3398,0,8
-2304,2,11
-6429,-1,12
1952,0,12
-2378,0,9
-1884,1,7
-9235,0,11
-1052,0,7
-3646,3,8
-10988,-1,11
58,0,3
-6914,2,11
-7825,-1,10
-777,1,8
-8509,0,8
-6476,-2,9
2150,1,8
-8984,0,13
-669,-2,8
-357,0,10
-2205,-1,10
-3172,0,12
2922,-2,12
-2309,0,8
-274,1,11
-5440,-2,9
-1242,0,9
-2781,1,11
-6452,0,7
-5162,0,8
-2159,1,7
-8887,0,10
324,1,6
-8156,1,11
-6766,0,7
-1205,2,8
-7241,0,10
-3066,0,8
-3755,0,9
124,0,9
-5872,0,11
3274,1,10
-3556,-1,8
-3133,0,11
-3672,0,11
-4586,0,10
138,1,7
-8994,-2,12
1065,2,7
-8098,0,12
-1312,-1,5
-4530,1,9
-6805,0,9
-3097,0,7
-6138,0,9
-7415,0,9
-1702,1,7
-2838,2,11
-5058,-1,7
-6082,1,10
885,0,10
-2745,-1,9
-5911,0,7
3321,-3,11
3253,0,10
-5338,0,14
-1997,-1,6
-2063,1,11
-4769,-1,10
-5097,0,9
1434,1,7
-10244,-2,10
-4845,1,8
-569,5,9
-13172,-2,9
-6224,0,6
-3874,3,11
-7719,0,10
-5804,0,5
1864,-2,12
1402,0,9
-1156,0,11
-2370,-2,9
621,1,10
-1267,0,11
-2525,0,10
-420,0,9
-4215,-1,11
