-2792,0,4
-74,-2,13
-690,1,7
6887,-1,9
-5058,-1,12
-2855,0,7
2037,-3,10
-6339,1,8
-4218,-1,14
-1767,-1,9
-106,-1,9
-1586,0,9
16,-1,9
-5790,0,10
-1071,0,9
873,-2,10
-5392,0,10
6983,0,7
1793,-1,11
-2859,1,11
2964,0,8
-6405,-2,8
-117,-2,10
-2347,1,8
118,-1,11
-1941,0,12
-4139,0,9
-2639,-3,9
-700,0,9
-1379,0,8
1057,-2,11
-4223,0,10
-3519,0,9
-799,-1,6
-8808,-2,13
-1063,0,6
-3451,-1,14
-3268,0,9
627,-1,8
-257,0,9
-2013,0,12
-1801,-1,9
-4705,0,9
444,-2,7
-5599,-1,11
-4130,1,9
4581,-2,9
-5302,0,12
-5324,0,9
3333,-2,5
-10292,0,13
4109,0,8
542,1,12
-1153,-3,9
-2141,0,8
2253,-4,7
-3624,0,10
-6318,0,12
2364,-3,10
-8981,2,7
3236,-1,9
-9052,2,11
9449,-3,12
-8109,1,11
-861,-1,9
11821,-2,5
-7507,2,10
3227,0,13
368,1,10
-3704,-1,9
4177,-5,8
-3146,0,8
-7347,1,11
-899,-3,13
-3247,2,8
3845,-3,9
3817,-1,8
-2311,2,13
1663,-2,11
-5939,1,9
8112,-3,10
4642,2,6
-3608,-1,13
395,-1,10
56,0,9
-5105,0,9
994,-4,9
-7606,0,9
-6294,0,10
-1266,-2,11
-3516,0,7
176,0,8
1211,0,10
-1111,0,10
443,0,11
2066,-1,10
-10104,-1,11
-2082,0,9
2440,1,10
-2209,-1,11
1329,-1,9
-4261,0,9
2883,-2,9
-3390,0,10
-6788,0,10
1939,-2,11
-4574,0,9
-3117,-1,9
-2769,-1,10
-3073,0,8
615,-1,10
-2466,0,9
-7635,-2,10
-3638,0,6
3729,-2,10
-4640,-2,15
418,1,7
-2573,0,10
4200,-3,10
-1829,1,7
-1555,-2,12
1167,0,9
-3796,0,11
-234,-1,8
3817,-1,8
-1148,1,8
1105,-1,13
767,-1,9
-4962,0,11
4856,0,7
-1101,-3,12
-8989,2,5
-1441,-3,16
-7122,1,7
61,-4,12
-7823,0,7
